movieId,title,genres,rating,year
270,She,"['Adventure', 'Fantasy', 'Romance']",6.6,1935
271,Swedenhielms Family,"['Comedy', 'Drama']",5.9,1935
272,Top Hat,"['Comedy', 'Musical', 'Romance']",7.9,1935
273,Wife! Be Like a Rose!,['Drama'],7.7,1935
274,The Wedding Night,"['Drama', 'Romance']",6.8,1935
275,Who Killed Cock Robin?,"['Animation', 'Comedy', 'Family']",7.2,1935
276,Anthony Adverse,"['Adventure', 'Drama', 'Romance']",6.6,1936
277,The Lower Depths,"['Crime', 'Drama', 'Romance']",7.8,1936
278,The Beloved Vagabond,"['Drama', 'Musical']",5.4,1936
279,Black Legion,"['Crime', 'Drama', 'Film-Noir']",7.0,1937
280,The Charge of the Light Brigade,"['Action', 'Adventure', 'Romance']",7.1,1936
281,Come and Get It,['Drama'],7.1,1936
282,Dodsworth,"['Drama', 'Romance']",8.2,1936
283,Follow the Fleet,"['Comedy', 'Musical', 'Romance']",7.3,1936
284,Flash Gordon,"['Action', 'Adventure', 'Sci-Fi']",7.3,1936
285,Fury,"['Crime', 'Drama', 'Film-Noir']",7.9,1936
286,Sisters of the Gion,['Drama'],7.7,1936
287,The Garden of Allah,"['Adventure', 'Drama', 'Romance']",6.0,1936
288,The Great Ziegfeld,"['Biography', 'Drama', 'Musical']",6.9,1936
289,The Green Pastures,['Drama'],7.1,1936
290,The Invisible Ray,"['Horror', 'Sci-Fi', 'Thriller']",6.7,1936
291,Der Kaiser von Kalifornien,['Western'],7.1,1936
292,Lloyd's of London,"['Drama', 'History', 'Romance']",7.0,1936
293,Mary of Scotland,"['Biography', 'Drama', 'History']",6.5,1936
294,Modern Times,"['Comedy', 'Drama']",8.6,1936
295,Mayerling,"['Drama', 'Romance']",7.2,1936
296,Mr. Deeds Goes to Town,"['Comedy', 'Drama', 'Romance']",8.0,1936
297,My Man Godfrey,"['Romance', 'Comedy']",8.1,1936
298,Popeye the Sailor Meets Sindbad the Sailor,"['Animation', 'Short', 'Comedy']",7.5,1936
299,The Prisoner of Shark Island,"['Biography', 'Drama', 'History']",7.4,1936
300,Rembrandt,"['Biography', 'Drama']",7.1,1936
301,The Robber Symphony,['Musical'],7.4,1937
302,The Story of a Cheat,['Comedy'],7.8,1936
303,Romeo and Juliet,"['Drama', 'Romance']",6.8,1936
304,Final Accord,"['Music', 'Drama']",7.0,1936
305,Secret Agent,"['Mystery', 'Thriller']",6.6,1936
306,Show Boat,"['Comedy', 'Drama', 'Musical']",7.7,1936
307,San Francisco,"['Drama', 'Musical', 'Romance']",7.3,1936
308,The Story of Louis Pasteur,"['Biography', 'Drama', 'History']",7.4,1936
309,Swing Time,"['Comedy', 'Musical', 'Romance']",7.7,1936
310,These Three,"['Drama', 'Romance']",7.7,1936
